0,1,2,3
567.0,604.0,0.536470898132841,2.0
187.0,189.0,0.728300763277279,2.0
792.0,819.0,0.7481989422844764,2.0
825.0,850.0,0.7810452571968579,2.0
508.0,557.0,0.9110641405924285,2.0
379.0,402.0,0.9684762078792905,2.0
823.0,848.0,1.1273367767698559,2.0
811.0,960.0,1.1359776771634646,3.0
637.0,639.0,1.1831300168322831,2.0
566.0,603.0,1.1874494880559154,2.0
139.0,144.0,1.3016807476368486,2.0
147.0,165.0,1.3038810960591498,2.0
855.0,897.0,1.3302957560902182,2.0
817.0,965.0,1.4032541214296403,4.0
190.0,204.0,1.4176940345202662,2.0
339.0,357.0,1.4432379908984894,2.0
791.0,820.0,1.556386040011215,2.0
431.0,469.0,1.5603364470774168,2.0
344.0,374.0,1.5878878773451424,2.0
416.0,422.0,1.6041830779015807,2.0
112.0,132.0,1.6190652880114549,2.0
93.0,129.0,1.6369770405597026,2.0
87.0,968.0,1.6808880039659135,3.0
650.0,670.0,1.7450092310377245,2.0
697.0,712.0,1.7494893598180543,2.0
157.0,167.0,1.800631053109044,2.0
789.0,809.0,1.831825046061069,2.0
880.0,885.0,1.8387549708872515,2.0
130.0,146.0,1.8758330374957328,2.0
568.0,587.0,1.8874302005915355,2.0
446.0,447.0,1.8894079614095383,2.0
343.0,973.0,1.9194198031167387,3.0
821.0,971.0,1.9415532603688876,5.0
329.0,336.0,1.943880307346419,2.0
721.0,752.0,1.945988218841583,2.0
906.0,919.0,1.9566412516588194,2.0
955.0,959.0,2.01089461482263,3.0
519.0,561.0,2.021095484248237,2.0
901.0,927.0,2.023956222203055,2.0
407.0,423.0,2.03699131606797,2.0
172.0,371.0,2.060082672496376,2.0
148.0,174.0,2.0618209408510775,2.0
547.0,558.0,2.0865394736533776,2.0
800.0,806.0,2.099723717187616,2.0
277.0,298.0,2.1445826954919016,2.0
220.0,231.0,2.15560474441116,2.0
181.0,185.0,2.178292532473984,2.0
360.0,378.0,2.1836685675740934,2.0
731.0,745.0,2.1975113156553014,2.0
664.0,672.0,2.2200709618207926,2.0
459.0,463.0,2.2435958304564956,2.0
349.0,373.0,2.248124915464073,2.0
600.0,987.0,2.2549951454683157,3.0
247.0,267.0,2.2812185730011256,2.0
86.0,978.0,2.2923398327196125,3.0
695.0,804.0,2.2940687219214246,2.0
644.0,647.0,2.3233288141075965,2.0
864.0,893.0,2.324346823163396,2.0
507.0,555.0,2.325470148497783,2.0
795.0,803.0,2.33341857477472,2.0
915.0,924.0,2.3404825276010017,2.0
579.0,597.0,2.348177433653655,2.0
868.0,985.0,2.3506826762317203,3.0
219.0,452.0,2.361562364204715,2.0
119.0,134.0,2.362233132321053,2.0
465.0,473.0,2.364355943663508,2.0
4.0,74.0,2.3776387300707533,2.0
449.0,467.0,2.3824218673677966,2.0
785.0,799.0,2.3907452319942344,2.0
876.0,879.0,2.418783734086535,2.0
94.0,100.0,2.4195723980906774,2.0
856.0,892.0,2.440994830924833,2.0
164.0,166.0,2.4441758233123365,2.0
572.0,573.0,2.446274249879728,2.0
99.0,111.0,2.4763877935239225,2.0
667.0,679.0,2.5425844997598035,2.0
943.0,956.0,2.547845020247165,2.0
96.0,177.0,2.5568111585882574,2.0
421.0,636.0,2.559088604981597,2.0
690.0,705.0,2.5709140742491727,2.0
306.0,334.0,2.5729973787194274,2.0
194.0,201.0,2.612432397412713,2.0
435.0,988.0,2.6195498998195514,3.0
380.0,400.0,2.624669423808924,2.0
85.0,979.0,2.6248765390632602,3.0
589.0,958.0,2.659118865308444,3.0
853.0,871.0,2.66862889956952,2.0
905.0,921.0,2.6825709954060786,2.0
